대학교명,교수,경영학과,경제학과,컴퓨터공학과,산업공학과,국문학과,영문학과
대학교1,20,121,72,158,131,77,59
대학교2,31,178,139,145,137,63,90
대학교3,23,136,139,154,111,91,50
대학교4,32,72,136,67,51,133,159
대학교5,22,61,73,86,82,55,124
대학교6,32,169,172,137,173,59,128
대학교7,29,173,183,112,154,134,133
대학교8,19,141,81,101,118,151,123
대학교9,40,137,145,191,58,96,71
대학교10,34,197,93,125,116,181,150
대학교11,21,136,139,136,126,54,98
대학교12,37,72,113,53,180,118,153
대학교13,36,138,65,153,126,139,189
대학교14,34,95,89,179,164,131,167
대학교15,20,52,84,160,99,55,113
대학교16,30,129,191,117,50,77,66
대학교17,35,143,72,71,161,52,177
대학교18,31,68,187,113,57,133,113
대학교19,34,58,140,141,126,149,56
대학교20,39,91,131,66,86,146,101
대학교21,31,50,156,103,111,51,156
대학교22,26,166,178,197,120,136,62
대학교23,39,83,156,58,124,139,133
대학교24,23,71,94,178,121,157,93
대학교25,24,81,55,159,177,83,172
대학교26,19,89,127,135,112,124,121
대학교27,31,128,66,56,81,195,150
대학교28,36,60,170,188,86,133,144
대학교29,21,78,113,123,110,82,192
대학교30,27,195,63,189,98,129,129
대학교31,26,58,168,179,123,198,53
대학교32,40,152,138,108,65,64,190
대학교33,38,190,136,55,87,128,122
대학교34,29,148,108,66,114,122,93
대학교35,32,137,86,72,52,124,133
대학교36,25,159,104,177,61,158,66
대학교37,32,141,158,61,53,177,92
대학교38,40,60,141,162,102,111,110
대학교39,23,93,62,190,106,66,159
대학교40,25,61,121,184,92,185,99
대학교41,20,64,88,79,168,73,84
대학교42,37,98,152,195,161,186,143
대학교43,28,177,169,107,122,185,73
대학교44,22,87,106,167,160,101,153
대학교45,21,105,72,162,60,186,129
대학교46,22,163,189,192,121,99,183
대학교47,34,85,51,91,72,134,58
대학교48,41,57,103,59,89,184,75
대학교49,21,150,158,159,78,65,195
대학교50,42,71,102,148,96,157,82
