날짜,폭력범죄,지능범죄,교통범죄,절도범죄,경제범죄,정치범죄,주요검찰청명
2018년 01월,28,127,90,73,33,202,검찰청1
2018년 02월,16,137,72,80,30,180,검찰청5
2018년 03월,29,140,70,79,34,211,검찰청5
2018년 04월,10,140,90,65,31,184,검찰청1
2018년 05월,11,138,70,75,35,190,검찰청1
2018년 06월,30,128,78,74,34,216,검찰청5
2018년 07월,21,128,84,69,31,181,검찰청1
2018년 08월,26,120,86,76,33,188,검찰청5
2018년 09월,11,117,86,65,33,192,검찰청5
2018년 10월,12,117,86,67,28,200,검찰청5
2018년 11월,22,103,83,72,33,196,검찰청1
2018년 12월,28,124,83,61,27,209,검찰청2
2019년 01월,22,102,86,62,28,212,검찰청1
2019년 02월,26,138,80,61,31,183,검찰청3
2019년 03월,14,129,76,60,29,202,검찰청5
2019년 04월,26,142,83,71,33,182,검찰청1
2019년 05월,28,131,80,72,28,212,검찰청1
2019년 06월,22,104,84,72,34,201,검찰청2
2019년 07월,14,134,84,72,32,182,검찰청2
2019년 08월,27,101,71,67,31,198,검찰청1
2019년 09월,21,108,87,70,33,187,검찰청1
2019년 10월,21,114,89,61,32,212,검찰청3
2019년 11월,22,134,79,64,35,198,검찰청4
2019년 12월,21,142,77,62,35,183,검찰청3
2020년 01월,23,140,83,60,26,219,검찰청2
2020년 02월,11,111,73,60,31,211,검찰청1
2020년 03월,17,125,87,76,25,220,검찰청5
2020년 04월,10,112,78,78,28,185,검찰청3
2020년 05월,20,122,76,74,30,192,검찰청1
2020년 06월,24,139,87,77,29,192,검찰청3
2020년 07월,19,107,79,80,30,193,검찰청3
2020년 08월,27,124,81,62,29,187,검찰청5
2020년 09월,25,108,76,66,28,182,검찰청1
2020년 10월,25,134,71,75,33,189,검찰청5
2020년 11월,26,122,72,62,31,180,검찰청3
2020년 12월,22,104,87,80,31,181,검찰청5
2021년 01월,28,102,90,73,33,212,검찰청3
2021년 02월,16,173,72,80,50,150,검찰청2
2021년 03월,39,120,70,69,34,231,검찰청1
2021년 04월,26,122,83,71,33,192,검찰청4
2021년 05월,28,111,80,72,28,182,검찰청2
2021년 06월,122,94,84,92,34,211,검찰청2
2021년 07월,19,117,79,70,30,151,검찰청3
2021년 08월,27,131,81,62,29,189,검찰청5
2021년 09월,25,113,76,66,38,172,검찰청1
2021년 10월,20,115,80,77,33,138,검찰청3
2021년 11월,25,149,90,67,33,191,검찰청2
2021년 12월,21,116,87,72,38,206,검찰청4
2022년 01월,16,104,82,60,25,206,검찰청5
2022년 02월,19,145,88,60,30,204,검찰청1
2022년 03월,17,144,84,76,34,197,검찰청5
2022년 04월,14,150,85,75,31,181,검찰청5
2022년 05월,22,119,73,74,34,200,검찰청1
2022년 06월,12,131,78,65,30,201,검찰청3
2022년 07월,12,116,79,65,31,202,검찰청4
2022년 08월,25,129,77,69,33,185,검찰청2
2022년 09월,28,107,71,71,32,203,검찰청4
2022년 10월,18,130,71,77,30,206,검찰청5
2022년 11월,12,140,82,73,32,187,검찰청2
2022년 12월,26,106,87,71,28,216,검찰청5
